1686163200000,26490.78000000,26497.11000000,26457.14000000,26470.00000000,84.24544000,1686163499999,2230654.98700340,2631,34.43517000,911769.24613140,0
1686163500000,26470.00000000,26477.95000000,26461.57000000,26470.01000000,246.33105000,1686163799999,6520145.04091300,2914,96.41045000,2551738.32359650,0
1686163800000,26470.00000000,26490.22000000,26470.00000000,26477.35000000,109.03811000,1686164099999,2887081.79988630,2920,66.56554000,1762610.10796390,0
1686164100000,26477.36000000,26481.66000000,26441.56000000,26472.94000000,137.35092000,1686164399999,3634381.61031060,2766,43.95132000,1162812.30951980,0
1686164400000,26472.95000000,26472.95000000,26442.37000000,26464.78000000,171.47249000,1686164699999,4537107.87990930,3261,68.21059000,1804952.10992060,0
1686164700000,26464.79000000,26489.07000000,26464.78000000,26469.48000000,81.05138000,1686164999999,2145952.07964230,2577,44.20644000,1170440.35775700,0
1686165000000,26469.47000000,26514.67000000,26455.36000000,26502.73000000,85.06261000,1686165299999,2253596.12671210,3225,54.97018000,1456358.25660860,0
1686165300000,26502.74000000,26531.05000000,26468.22000000,26468.23000000,123.14657000,1686165599999,3264082.64750990,3645,60.35343000,1600063.94601270,0
1686165600000,26468.23000000,26509.52000000,26460.04000000,26483.10000000,89.18074000,1686165899999,2361948.73939070,3078,43.54821000,1153275.35286580,0
1686165900000,26483.10000000,26507.99000000,26480.00000000,26504.64000000,42.85500000,1686166199999,1135242.29232490,1850,24.92635000,660331.36262670,0
1686166200000,26504.64000000,26514.54000000,26475.62000000,26479.61000000,58.37476000,1686166499999,1546325.54121030,2289,26.06473000,690430.66355080,0
1686166500000,26479.61000000,26490.00000000,26473.26000000,26486.28000000,92.55737000,1686166799999,2450900.97725460,2426,53.92292000,1427901.24371720,0
1686166800000,26486.28000000,26516.92000000,26486.28000000,26516.29000000,84.24239000,1686167099999,2232703.95845390,2149,38.38867000,1017456.10360380,0
1686167100000,26516.30000000,26516.30000000,26457.14000000,26470.60000000,88.01245000,1686167399999,2330864.99319090,2635,29.86804000,790722.73075950,0
1686167400000,26470.60000000,26503.38000000,26470.60000000,26482.11000000,70.07969000,1686167699999,1856338.22201940,2401,35.09335000,929586.08071850,0
1686167700000,26482.11000000,26495.63000000,26474.84000000,26482.42000000,42.26925000,1686167999999,1119430.13824260,1832,22.30406000,590659.16216820,0
1686168000000,26482.43000000,26493.30000000,26441.04000000,26446.98000000,97.67954000,1686168299999,2584890.64534660,3008,28.71037000,759940.33551470,0
1686168300000,26446.99000000,26484.43000000,26446.98000000,26457.73000000,68.85559000,1686168599999,1822533.75238110,2260,29.28008000,774950.42565650,0
1686168600000,26457.73000000,26458.59000000,26345.11000000,26362.44000000,366.83720000,1686168899999,9680522.26088650,6570,149.05641000,3932136.65230780,0
1686168900000,26362.43000000,26401.22000000,26345.06000000,26390.01000000,284.01585000,1686169199999,7489843.40134270,4001,165.62888000,4367979.42723220,0
1686169200000,26390.00000000,26409.61000000,26330.79000000,26330.79000000,145.39423000,1686169499999,3833476.73961940,4052,60.19311000,1587086.75818690,0
1686169500000,26330.79000000,26370.38000000,26317.40000000,26351.50000000,201.12171000,1686169799999,5297953.84943930,3936,112.25898000,2956909.22653380,0
1686169800000,26351.50000000,26384.42000000,26351.50000000,26384.41000000,63.30240000,1686170099999,1669519.45966160,2278,48.63385000,1282633.46622040,0
1686170100000,26384.40000000,26391.52000000,26361.89000000,26368.20000000,114.54730000,1686170399999,3021334.14808250,2374,52.85350000,1394003.79267230,0
1686170400000,26368.20000000,26368.21000000,26323.48000000,26353.02000000,131.11058000,1686170699999,3453581.89564180,3188,55.98263000,1474582.79531570,0
1686170700000,26353.02000000,26379.55000000,26335.76000000,26341.79000000,105.95593000,1686170999999,2793034.91350450,2908,30.10298000,793487.64566100,0
1686171000000,26341.78000000,26364.48000000,26341.78000000,26357.12000000,75.41176000,1686171299999,1987213.47211550,1932,47.43078000,1249672.03959570,0
1686171300000,26357.11000000,26376.37000000,26351.97000000,26359.93000000,56.85996000,1686171599999,1499043.72415910,2039,31.63769000,834057.79136310,0
1686171600000,26359.94000000,26397.51000000,26359.93000000,26393.80000000,80.96493000,1686171899999,2135385.27606630,2320,52.04992000,1372580.86920460,0
1686171900000,26393.81000000,26393.81000000,26283.32000000,26328.45000000,232.55329000,1686172199999,6121902.19066710,5512,106.06804000,2791859.64255660,0
1686172200000,26328.07000000,26425.92000000,26326.44000000,26420.93000000,151.05861000,1686172499999,3986099.35402930,4677,78.62501000,2074187.70040830,0
1686172500000,26420.92000000,26444.19000000,26410.00000000,26431.52000000,191.60833000,1686172799999,5063805.27626560,4049,114.85334000,3035165.48860230,0
1686172800000,26431.52000000,26441.00000000,26429.02000000,26435.00000000,111.12501000,1686173099999,2937564.47802550,2264,62.02437000,1639515.48997820,0
1686173100000,26435.01000000,26457.23000000,26431.56000000,26456.02000000,97.88956000,1686173399999,2588687.09071830,2391,54.31484000,1436346.07832290,0
1686173400000,26456.01000000,26456.02000000,26416.01000000,26424.63000000,142.16974000,1686173699999,3757954.98097140,2362,35.04998000,926718.78304170,0
1686173700000,26424.62000000,26449.41000000,26397.37000000,26397.37000000,133.63008000,1686173999999,3532183.00393740,3151,42.26253000,1117276.39779000,0
1686174000000,26397.38000000,26397.38000000,26346.91000000,26383.58000000,93.07469000,1686174299999,2454163.66719010,3316,41.03566000,1081886.56234990,0
1686174300000,26383.57000000,26396.81000000,26370.52000000,26393.93000000,51.01038000,1686174599999,1346275.66040580,2199,16.63347000,438936.60881840,0
1686174600000,26393.93000000,26397.55000000,26292.44000000,26295.80000000,89.42315000,1686174899999,2356015.73704720,3686,14.40699000,379462.33077290,0
1686174900000,26295.79000000,26323.43000000,26125.01000000,26156.00000000,656.87195000,1686175199999,17211165.37672700,13853,226.85356000,5942563.19971180,0
1686175200000,26154.52000000,26262.02000000,26132.40000000,26201.37000000,428.48334000,1686175499999,11230776.17557090,10283,213.22550000,5588034.35519600,0
1686175500000,26201.73000000,26265.20000000,26189.52000000,26259.99000000,183.73400000,1686175799999,4817689.93225330,4940,93.02344000,2439270.85052200,0
1686175800000,26260.00000000,26347.52000000,26248.53000000,26336.08000000,326.07998000,1686176099999,8576518.50520420,6754,199.36684000,5243944.80284050,0
1686176100000,26336.07000000,26373.33000000,26306.49000000,26355.95000000,189.69149000,1686176399999,4997847.73853680,4823,95.42937000,2513981.95173820,0
1686176400000,26355.96000000,26362.01000000,26299.70000000,26310.60000000,155.05068000,1686176699999,4081902.33703320,4072,76.91958000,2024857.80696350,0
1686176700000,26310.60000000,26310.60000000,26263.00000000,26275.12000000,138.95576000,1686176999999,3652296.92592290,4074,61.78147000,1623772.51674320,0
1686177000000,26275.13000000,26316.13000000,26270.98000000,26276.99000000,103.93008000,1686177299999,2732077.39008490,3885,51.53055000,1354623.07417050,0
1686177300000,26276.99000000,26280.00000000,26232.69000000,26271.27000000,105.28504000,1686177599999,2764180.79029970,4163,38.99922000,1023873.82349170,0
1686177600000,26271.27000000,26278.14000000,26239.81000000,26244.83000000,71.11706000,1686177899999,1867211.54170810,2352,24.27610000,637366.63969350,0
1686177900000,26244.82000000,26285.63000000,26242.02000000,26269.59000000,85.63273000,1686178199999,2249530.42668030,2738,50.00531000,1313534.90360240,0
1686178200000,26269.60000000,26308.75000000,26269.59000000,26287.02000000,73.88285000,1686178499999,1942067.27713740,2252,44.95485000,1181615.06994480,0
1686178500000,26287.01000000,26287.02000000,26257.35000000,26275.90000000,127.52686000,1686178799999,3350443.96693990,2773,39.02383000,1025200.15414210,0
